clock,treated,treated_lo,treated_hi,control,control_lo,control_hi,diff,diff_lo,diff_hi,diff_p,sub1,sub1_lo,sub1_hi,sub2,sub2_lo,sub2_hi
Horvath1,0.029107006352228605,-0.07523580582641348,0.13344981853087068,-0.007054789218792368,-0.10484172149324264,0.09073214305565791,0.037525226457561116,-0.10549046662003064,0.1805409195351529,0.6070595018047075,0.0750825223704502,-0.104506316825015,0.2546713615659154,-0.027581958865565595,-0.2640359482089272,0.20887203047779596
Horvath2,0.12347967165879406,-0.025339661773826877,0.272299005091415,0.0052209047377443675,-0.11502900465655973,0.12547081413204847,0.14472834277552601,-0.04845217303451918,0.3379088585855712,0.14199379943798146,0.16608997992696642,-0.13554671229167978,0.4677266721456126,0.1298737040948997,-0.12166102092080641,0.3814084291106058
Hannum,-0.11884585364761734,-0.24314415280512652,0.005452445509891865,-0.10831992855273924,-0.2902572604462004,0.07361740334072196,-0.04922156424542101,-0.27192124714758514,0.17347811865674315,0.6648669891228793,-0.20631705613656098,-0.4955240987865181,0.08288998651339613,0.179623935807052,-0.1694345430768487,0.5286824146909527
PCHorvath1,-0.011862623898855323,-0.06430018367637509,0.04057493587866445,-0.05406293809873916,-0.10302654180260389,-0.005099334394874436,0.04955498185278805,-0.02376959183277228,0.1228795555383484,0.18529465011912227,0.01904727146458315,-0.0932601780549951,0.1313547209841614,0.0722213498556436,-0.024582967089194885,0.1690256668004821
PCHorvath2,0.024833145020864724,-0.01998001331993438,0.06964630336166383,-0.013868934640847678,-0.06403618031820214,0.036298311036506783,0.027456484891961144,-0.05028010809368823,0.10519307787761052,0.48876779299682604,0.02507118212824573,-0.08838671330250263,0.13852907755899407,0.029567016508565216,-0.07715619830038085,0.13629023131751128
PCHannum,0.006172896754572397,-0.039773704626838886,0.052119498135983676,-0.024563979145269168,-0.08874757018860863,0.039619611898070284,0.04044952890118581,-0.04489571329260277,0.1257947710949744,0.35291734363047245,0.0681941831654462,-0.05163415138616351,0.18802251771705591,0.011886101864874288,-0.10969750447842204,0.1334697082081706
DNAmEMRAge,0.0017805421743976074,-0.06443733165304436,0.06799841600183956,-0.029303559506407065,-0.10007749763210091,0.04147037861928679,0.03176031013312385,-0.06518569001552516,0.12870631028177287,0.5208003456585255,-0.001302504679700498,-0.13090140902611017,0.12829639966670917,0.07376748773754363,-0.072313322536921,0.21984829801200825
OMICmAge,-0.009754803763962842,-0.07383756118820904,0.054327953660283354,-0.007034466698295574,-0.08478353689046583,0.07071460349387468,-0.00020093817594959594,-0.10150924215626818,0.10110736580436898,0.9968982095844959,0.013745623096878299,-0.13666091649587314,0.16415216268962973,-0.01178291033456752,-0.14884722795061422,0.12528140728147918
PhenoAge,0.10889432291343633,-0.03056080989887451,0.24834945572574718,-0.01638203759213278,-0.16074768066663253,0.12798360548236698,0.10581531882207662,-0.09910564299236382,0.31073628063651704,0.3114960296513445,0.1356496641520397,-0.18952173329235442,0.46082106159643377,0.0861613129786988,-0.17776313488073672,0.35008576083813436
GrimAgeV1,-0.00067240497918293,-0.11732665297605173,0.11598184301768587,-0.05400648804392167,-0.17338068681982421,0.06536771073198086,0.04922496755945221,-0.11820210753638313,0.21665204265528756,0.5644418363892176,0.11716263660023571,-0.11795474037155709,0.35228001357202854,-0.020666108370276402,-0.259139687625252,0.2178074708846992
GrimAgeV2,-0.0724273134652538,-0.1856615255788031,0.040806898648295495,-0.07145814903915207,-0.18942818730664654,0.0465118892283424,-0.0008593411903703668,-0.16438004983374518,0.16266136745300444,0.9917817126532527,0.0409579075027644,-0.17385595670159687,0.2557717717071257,-0.058478316334931696,-0.31063317707142013,0.19367654440155677
PCPhenoAge,-0.031939387006288164,-0.11186998090748448,0.047991206894908156,-0.08235570006747339,-0.177006971374496,0.012295571239549205,0.05258660493385557,-0.07184368776468864,0.17701689763239978,0.40748181141912376,0.08328417890000675,-0.0905377214617197,0.25710607926173323,0.020322509633955703,-0.15787934200171447,0.1985243612696259
PCGrimAge,-0.027547312029270948,-0.09445800627014238,0.039363382211600476,-0.017953962069286258,-0.1016849807898923,0.06577705665131978,-0.007596820883875486,-0.11481650104963871,0.09962285928188773,0.8895516104726455,0.0660465333088074,-0.08568746521620045,0.21778053183381524,-0.08104157195385822,-0.23257083244928353,0.07048768854156709
SystemsAge,-0.03002853806637296,-0.07337906449495231,0.013321988362206393,-0.04605061703887709,-0.09621137070896361,0.004110136631209432,0.019960527027882452,-0.04657121261173447,0.08649226666749937,0.5565124176503939,0.03876725601873681,-0.05770646792677266,0.13524097996424628,0.0029040911728015,-0.08897073964866273,0.09477892199426571
DunedinPoAm38,-0.018410099763070037,-0.1300063020279858,0.09318610250184572,-0.1602832239399976,-0.25922885319190475,-0.06133759468809048,0.13079853405569855,-0.021482364122296288,0.28307943223369336,0.09227804131108841,0.19595439047688454,-0.0025754580307009722,0.39448423898447005,0.037672834626087295,-0.19967422518692557,0.2750198944391002
DunedinPACE,-0.1659889400008027,-0.25035545023543754,-0.08162242976616783,-0.10846528399014943,-0.21561154090220092,-0.001319027078097959,-0.04511727930047999,-0.18373444964045407,0.0934998910394941,0.5235107198288336,0.06123318251651491,-0.15968233288688366,0.2821486979199135,-0.1141800435919058,-0.29220402396754375,0.06384393678373217
