trial,clock,n_treated,n_control,treated,treated_lo,treated_hi,treated_p,control,control_lo,control_hi,control_p,diff,diff_lo,diff_hi,diff_p
DIRECT-PLUS,Horvath1,87,88,0.00684939917899272,-0.09214825368569295,0.10584705204367838,0.892448501470114,-0.0283822632377045,-0.11578167934576022,0.059017152870351225,0.526125369580383,0.03523166241669722,-0.0968258750764193,0.16728919990981375,0.6010376683839834
DIRECT-PLUS,Horvath2,87,88,-0.0308266393067113,-0.15066641131271227,0.08901313269928968,0.615427681702391,0.0357305775919192,-0.07694551596768642,0.1484066711515248,0.535874115080245,-0.0665572168986305,-0.23104877599606044,0.09793434219879943,0.42774120423261863
DIRECT-PLUS,Hannum,87,88,-0.0225419528496517,-0.15784284182694636,0.11275893612764294,0.744803200228173,0.0215840052663551,-0.10615727878696493,0.14932528931967512,0.741309072939281,-0.0441259581160068,-0.23020165832868156,0.14194974209666794,0.6420789506552884
DIRECT-PLUS,PCHorvath1,87,88,-0.060618983834298,-0.1246636664554461,0.003425698786850097,0.0669994226868599,-0.0242732339939427,-0.06830077255224505,0.019754304564359653,0.282867743218828,-0.036345749840355296,-0.11406412298047185,0.041372623299761255,0.3593454796590889
DIRECT-PLUS,PCHorvath2,87,88,-0.0732627486383783,-0.13973003433005043,-0.006795462946706146,0.0335244909633025,0.00648392623377214,-0.045729691520663494,0.05869754398820778,0.808272963551335,-0.07974667487215044,-0.16426981931333107,0.004776469569030176,0.06442333065962513
DIRECT-PLUS,PCHannum,87,88,-0.0996526697791102,-0.17000512957556568,-0.029300209982654743,0.00674643361583003,-0.0228828854929323,-0.07822411968820968,0.03245834870234508,0.419901752948312,-0.07676978428617791,-0.16628023508198397,0.01274066650962817,0.09275920519364465
DIRECT-PLUS,DNAmEMRAge,87,88,-0.0923011538982796,-0.1813306536242938,-0.003271654172265409,0.0452370914313,-0.0183885681905396,-0.08455181704447617,0.04777468066339698,0.587327806698525,-0.07391258570774001,-0.18483520432257572,0.037010032907095716,0.19154112823457048
DIRECT-PLUS,OMICmAge,87,88,-0.0390718737617983,-0.12075679740917095,0.04261304988557435,0.35111896029531,0.00351443884292705,-0.08527298954302123,0.09230186722887535,0.93833876565062,-0.04258631260472535,-0.16323304563412402,0.07806042042467332,0.4890329362751038
DIRECT-PLUS,PhenoAge,87,88,-0.0542861326886718,-0.2020745193089889,0.0935022539316453,0.473505557740567,-0.00284383178843691,-0.12043762756697415,0.11474996399010035,0.96230331017209,-0.05144230090023489,-0.24030655910024648,0.13742195729977671,0.5934389959038797
DIRECT-PLUS,GrimAgeV1,87,88,-0.132527899703597,-0.21741252848548503,-0.04764327092170896,0.00295104591553029,-0.0663911643809714,-0.15533473892080643,0.02255241015886364,0.147063971326719,-0.0661367353226256,-0.18908534107056452,0.05681187042531333,0.29173335573309156
DIRECT-PLUS,GrimAgeV2,87,88,-0.155815886084626,-0.2487271318622849,-0.06290464030696707,0.00146730168961668,-0.0483829588406344,-0.13689111322616848,0.0401251955448997,0.286937842806008,-0.10743292724399159,-0.23575359192700387,0.020887737439020698,0.1008065931698163
DIRECT-PLUS,PCPhenoAge,87,88,-0.134631315000945,-0.21370493888931202,-0.05555769111257797,0.00125202508828016,-0.0678924341315287,-0.1382539095224956,0.0024690412594381844,0.061922335857062,-0.06673888086941629,-0.17258487849820037,0.0391071167593678,0.21651983887850057
DIRECT-PLUS,PCGrimAge,87,88,-0.0867825101546011,-0.14123897020513798,-0.03232605010406421,0.00243574330067494,-0.0692934580867573,-0.11851974138339086,-0.02006717479012373,0.00706737405025224,-0.017489052067843805,-0.09089704215363859,0.055918938017950975,0.6405290130981792
